x,Grey
7.815,93.656
8.441,97.402
16.568,89.169
24.321,80.685
37.325,68.585
54.582,56.988
61.709,48.505
63.085,51.627
71.712,39.399
78.712,16.683
82.839,12.317
96.969,2.839

x,Grey-1
7.562,75.928
8.312,76.428
8.313,79.924
16.316,74.687
24.692,57.964
36.696,41.869
54.328,30.771
61.831,27.906
63.206,26.034
71.835,22.92
80.963,11.566
91.842,3.959
97.594,1.467

x,Red
7.189,89.536
15.815,72.814
18.067,76.311
33.199,75.074
36.323,57.848
38.827,72.956
49.83,60.73
59.085,62.859
83.968,39.034
88.84,3.332
92.592,1.837
96.468,1.091

x,Red-1
7.552,14.381
15.558,24.874
17.558,18.009
33.317,24.638
36.192,19.522
38.943,18.4
50.073,14.414
59.327,8.928
83.964,8.947
88.09,4.206
90.716,2.71
94.593,0.965
